Art_ID,Viz_Num,Graph_Type,Points,Lines,Bar_Col,Box,Hist_Dens,Tiles,Geo_Map,X_Axis,Y_Axis,Color_Fill,Size,Shape,Alpha,Interactive,Motion,Scroll,Perc_Num,Task1,Task2
49,6,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,,
49,7,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
50,1,,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
51,1,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
51,2,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
51,3,7,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
51,4,7,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
51,5,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
51,6,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
51,7,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
51,8,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
51,9,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,1,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,2,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,3,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,4,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,5,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,6,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,7,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
52,8,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
53,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
53,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
53,3,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
54,1,,,,,,,,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,,,,,,,,
54,3,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,
54,4,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
54,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
54,6,9,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
55,1,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,,,
55,2,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,
56,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
56,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,,
56,3,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,,
56,4,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
56,5,,,,,,,,,,,,,,,,,,,,
56,6,,,,,,,,,,,,,,,,,,,,
56,7,7,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
56,8,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
